id,year,hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
4474,2011,16,3,0,1,1,33.62,34.85,17,0.0,427
1349,2012,8,3,0,1,2,32.8,37.88,55,0.0,661
7690,2012,22,4,0,1,1,20.5,24.24,59,19.0012,126
4160,2012,5,1,0,0,1,9.84,12.88,70,6.0032,1
5505,2012,4,2,0,0,2,22.14,25.76,68,12.998,9
7363,2012,10,4,0,1,2,18.04,21.97,75,15.0013,164
6336,2012,17,3,0,1,1,30.34,34.85,70,16.9979,808
3764,2012,11,4,1,0,1,21.32,25.0,72,11.0014,367
6382,2012,18,2,0,1,1,20.5,24.24,27,16.9979,618
10000,2012,21,4,0,1,1,12.3,15.15,75,11.0014,172
8055,2011,13,3,0,0,1,33.62,35.605,30,7.0015,404
9679,2012,17,4,0,0,3,16.4,20.455,76,12.998,303
6521,2011,7,3,0,0,1,27.06,30.305,78,12.998,71
7256,2012,12,3,1,0,2,31.16,35.605,62,19.9995,543
8655,2011,9,1,0,1,2,17.22,21.21,77,12.998,169
7648,2012,7,1,0,0,2,14.76,17.425,93,8.9981,16
4822,2011,9,1,0,0,1,16.4,20.455,16,43.9989,55
8270,2012,12,4,0,0,1,18.04,21.97,35,0.0,573
6531,2011,16,4,0,1,2,22.96,26.515,88,15.0013,55
8788,2012,7,3,1,0,1,27.88,31.82,65,0.0,72
10607,2012,6,3,0,0,1,21.32,25.0,77,12.998,35
3795,2011,3,2,0,0,2,15.58,19.695,87,8.9981,16
4901,2012,21,4,1,0,2,16.4,20.455,76,15.0013,151
2452,2012,20,1,0,1,1,13.94,17.425,49,7.0015,163
8892,2012,4,2,0,1,2,21.32,25.0,68,22.0028,5
10696,2012,23,3,0,1,1,29.52,34.85,74,12.998,113
1690,2011,16,1,0,1,2,14.76,17.425,57,8.9981,114
8791,2011,1,3,0,1,1,27.06,31.06,50,0.0,31
7843,2011,0,3,0,1,2,21.32,25.0,72,11.0014,37
8299,2012,4,1,0,1,1,18.04,21.97,72,19.0012,2
10653,2012,17,2,0,0,2,25.42,31.06,33,16.9979,560
207,2012,14,2,0,1,1,19.68,23.485,29,26.0027,490
1302,2012,14,3,0,0,1,27.06,31.06,39,8.9981,635
1876,2011,2,3,0,1,1,25.42,31.06,57,12.998,15
8909,2011,10,2,0,1,1,25.42,31.06,46,15.0013,130
7830,2011,13,4,0,1,2,21.32,25.0,48,16.9979,169
6438,2011,21,2,0,1,2,28.7,31.82,30,30.0026,95
7185,2012,4,4,0,1,1,17.22,21.21,82,7.0015,10
2004,2012,17,1,0,1,1,18.86,22.725,63,11.0014,495
247,2011,5,2,0,0,3,21.32,25.0,100,7.0015,14
4503,2011,6,4,0,1,1,13.94,16.665,76,12.998,99
9720,2012,14,1,0,1,1,16.4,20.455,37,23.9994,170
9934,2012,0,3,0,1,1,22.96,26.515,52,19.0012,41
650,2012,6,3,0,1,1,29.52,34.09,66,7.0015,213
1381,2012,14,2,0,1,1,22.96,26.515,21,15.0013,311
284,2012,4,3,0,1,2,21.32,25.0,68,23.9994,10
2830,2012,13,1,0,0,1,9.02,10.605,44,19.0012,220
1270,2011,1,4,0,1,1,14.76,18.18,81,6.0032,6
8268,2011,18,1,1,0,2,7.38,8.335,55,16.9979,92
4783,2012,10,4,0,1,2,27.06,30.305,83,8.9981,177
6673,2011,6,3,0,1,3,24.6,27.275,88,7.0015,75
2547,2012,1,4,0,0,1,18.04,21.97,54,15.0013,109
5612,2012,0,1,0,0,1,6.56,9.09,47,7.0015,44
3309,2011,5,2,1,0,1,14.76,18.18,81,7.0015,13
1726,2011,6,1,0,0,1,13.94,18.18,66,0.0,2
5840,2011,15,3,0,1,1,31.16,33.335,33,19.9995,180
6236,2011,18,2,0,1,3,23.78,27.275,83,12.998,453
5852,2012,20,3,0,1,1,30.34,34.85,70,16.9979,385
1795,2012,17,3,0,1,1,24.6,31.06,38,15.0013,886
4897,2011,0,3,0,1,2,32.8,37.12,49,11.0014,43
8492,2011,0,2,0,1,1,27.06,29.545,89,8.9981,41
5469,2011,8,3,0,1,1,28.7,31.82,42,11.0014,492
6581,2012,6,2,0,0,1,17.22,21.21,67,6.0032,33
5679,2011,22,2,0,1,1,21.32,25.0,55,19.0012,90
399,2012,6,3,0,1,2,27.88,31.82,89,7.0015,172
3913,2012,5,4,0,0,2,10.66,15.15,75,0.0,3
5562,2012,10,1,0,0,3,9.02,12.12,93,7.0015,166
6460,2011,22,2,0,0,1,22.14,25.76,49,12.998,120
8269,2011,18,3,0,1,1,28.7,32.575,61,11.0014,539
374,2011,14,3,0,0,1,31.98,37.88,66,22.0028,361
2949,2011,5,3,0,0,1,26.24,28.79,89,6.0032,6
5700,2012,17,3,0,1,1,32.8,37.12,49,11.0014,837
7011,2011,6,2,0,0,1,22.14,25.76,60,0.0,28
9873,2012,22,2,0,0,2,25.42,30.305,61,11.0014,131
3924,2011,12,1,0,0,2,14.76,16.665,66,19.9995,93
1546,2011,14,4,0,1,3,19.68,23.485,100,15.0013,75
4705,2012,22,3,0,1,1,31.16,36.365,70,16.9979,202
9726,2012,6,1,0,0,2,17.22,21.21,94,12.998,30
7814,2011,11,3,0,1,1,29.52,34.09,66,11.0014,164
7815,2012,3,3,0,1,3,29.52,34.85,79,6.0032,5
3602,2011,7,2,0,1,1,27.06,31.06,74,7.0015,353
5493,2012,10,2,0,1,2,27.06,30.305,78,19.0012,204
8315,2011,14,4,0,0,1,13.94,15.15,31,22.0028,293
7335,2012,4,1,0,0,1,10.66,15.15,70,0.0,7
10427,2011,11,4,0,1,2,22.96,26.515,64,12.998,134
10234,2011,14,1,0,0,1,16.4,20.455,50,30.0026,166
3686,2012,20,4,0,1,2,17.22,21.21,94,16.9979,200
5271,2011,11,4,0,1,1,18.04,21.97,67,12.998,120
852,2011,19,4,0,1,1,18.04,21.97,67,6.0032,252
7891,2011,14,4,0,1,2,18.86,22.725,100,8.9981,61
4952,2012,6,4,0,1,1,12.3,14.395,39,15.0013,124
4407,2012,12,1,0,1,1,24.6,30.305,60,19.0012,244
6097,2011,8,2,0,1,2,20.5,24.24,88,12.998,387
7005,2012,12,3,0,1,1,32.8,35.605,41,8.9981,272
2513,2011,5,3,0,0,1,26.24,28.79,83,8.9981,6
9846,2011,17,4,0,1,2,20.5,24.24,72,12.998,451
8072,2011,15,2,0,1,1,22.96,26.515,26,32.9975,147
7087,2011,16,1,0,1,1,27.88,31.82,39,19.0012,204
4120,2012,6,4,0,1,2,22.96,26.515,73,19.9995,147
4758,2011,18,2,0,1,1,13.94,15.15,46,22.0028,241
3111,2011,23,2,0,1,1,19.68,23.485,94,0.0,72
